   ,-1273185922,718430920,-1871632036,-431165293,-908812346,369397697,663653828,103183761,1174889545,-1541017831,1835914137,435603265,1636805563,-1046008504,1717558552,-487598134,-420091702,40099091,1702870591,-1299799055,260862799,-1385323111,-1357833701,1272530710,639154491,632951490,-1954623819,510977645,1020632890,-1782631767,957573048,1123206294,122657019,949478732,724397874,72702436,433644180,-523699395,1457819254,328066329,3052098,-1916972171,-918125062,1771159668,-88420861,826581808,2402104,2336756,-2127141992,2121681109,485067704,-27379270,1228606669,-697615801,124490773,-1378317670,-1436303926,-1608965110,1771435592,1733308554,742302823,-1389805711,2000741711,-1335837331,-74787520,209799577,-1027756943,1172740312,-1344926995,306846586,515898624,-56678647,228521999,-482727050,-1530104422,-84146620,-275147298,1499132914,-1459085573,-898232613,659042234,1166996764,-659351312,-225088193,1578459409,-1582481294,89566776,-203835270,1889090132,892540220,-1479121252,127743785,490179952,-567055493,1913931141,-903199687,-386349478,516104244,-735469094,-833707954,499531038,-10341214,-2054528549,223387651,2511332,-1561009880,381141626,-859301046,-770777232,-2064532938,1949235833,1812767234,-99327697,-1484940545,-374714346,-497575769,1077136247,318575070,1765090555
00010/,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,X,X,X
00002,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00008/,X,X,X,X,X,X,X,X,,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,,,,X,,,,X,X,,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,X,,X,,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,X,X,X,X,X,X,,,
00009/,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,
00004/,X,X,X,X,X,X,X,X,,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,,,,X,,,,X,X,,X,X,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00005/,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006/,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,
00007/,X,X,X,X,X,X,X,X,,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,,,,X,,,,X,X,,X,X,,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
00011/,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,X,X,X
00012/,X,X,X,X,X,X,X,X,,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,,,,X,,,,X,X,,X,X,,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
00013/,X,X,X,X,X,X,X,X,,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,,,,X,,,,X,X,,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,X,,X,,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,X,X,X,X,X,X,,,
00003/,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,