name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Compile,Log.Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
198,jhipster99,,monolith,oauth2,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
199,jhipster100,X,monolith,jwt,ehcache,hazelcast,spring-websocket,sql,DiskBased,mariadb,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
200,jhipster100,,monolith,jwt,ehcache,hazelcast,spring-websocket,sql,DiskBased,mariadb,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
201,jhipster101,X,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,postgresql,gradle,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
202,jhipster101,,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,postgresql,gradle,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
203,jhipster102,X,monolith,session,hazelcast,hazelcast,no,sql,DiskBased,mariadb,maven,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
204,jhipster102,,monolith,session,hazelcast,hazelcast,no,sql,DiskBased,mariadb,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
205,jhipster103,X,monolith,oauth2,no,no,no,sql,InMemory,postgresql,maven,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
206,jhipster103,,monolith,oauth2,no,no,no,sql,InMemory,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
207,jhipster104,X,microservice,uaa,ehcache,no,no,sql,mysql,mysql,gradle,elasticsearch,,,,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
208,jhipster104,,microservice,uaa,ehcache,no,no,sql,mysql,mysql,gradle,elasticsearch,,,,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
209,jhipster105,X,microservice,uaa,ehcache,no,no,sql,InMemory,mariadb,gradle,no,,,,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
210,jhipster105,,microservice,uaa,ehcache,no,no,sql,InMemory,mariadb,gradle,no,,,,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
211,jhipster106,X,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
212,jhipster106,,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
213,jhipster107,X,monolith,session,ehcache,no,no,sql,postgresql,postgresql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
214,jhipster107,,monolith,session,ehcache,no,no,sql,postgresql,postgresql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
215,jhipster108,X,monolith,session,no,no,no,sql,postgresql,postgresql,maven,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
216,jhipster108,,monolith,session,no,no,no,sql,postgresql,postgresql,maven,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
217,jhipster109,X,monolith,session,no,no,spring-websocket,sql,mariadb,mariadb,gradle,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
218,jhipster109,,monolith,session,no,no,spring-websocket,sql,mariadb,mariadb,gradle,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
219,jhipster110,X,gateway,uaa,ehcache,no,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
220,jhipster110,,gateway,uaa,ehcache,no,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
221,jhipster111,X,monolith,jwt,ehcache,hazelcast,spring-websocket,sql,postgresql,postgresql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
222,jhipster111,,monolith,jwt,ehcache,hazelcast,spring-websocket,sql,postgresql,postgresql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
223,jhipster112,X,gateway,jwt,no,no,no,sql,mysql,mysql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
224,jhipster112,,gateway,jwt,no,no,no,sql,mysql,mysql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
225,jhipster113,X,gateway,uaa,no,no,no,sql,InMemory,mysql,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
226,jhipster113,,gateway,uaa,no,no,no,sql,InMemory,mysql,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
227,jhipster114,X,gateway,uaa,ehcache,no,spring-websocket,sql,InMemory,mariadb,gradle,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
228,jhipster114,,gateway,uaa,ehcache,no,spring-websocket,sql,InMemory,mariadb,gradle,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
229,jhipster115,X,monolith,jwt,no,no,spring-websocket,sql,DiskBased,mysql,gradle,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
230,jhipster115,,monolith,jwt,no,no,spring-websocket,sql,DiskBased,mysql,gradle,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
231,jhipster116,X,monolith,jwt,hazelcast,no,no,sql,postgresql,postgresql,gradle,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
232,jhipster116,,monolith,jwt,hazelcast,no,no,sql,postgresql,postgresql,gradle,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
233,jhipster117,X,gateway,jwt,no,hazelcast,spring-websocket,sql,mysql,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
234,jhipster117,,gateway,jwt,no,hazelcast,spring-websocket,sql,mysql,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
235,jhipster118,X,monolith,oauth2,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
236,jhipster118,,monolith,oauth2,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
237,jhipster119,X,monolith,jwt,ehcache,no,spring-websocket,sql,InMemory,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
238,jhipster119,,monolith,jwt,ehcache,no,spring-websocket,sql,InMemory,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
239,jhipster120,X,monolith,session,no,hazelcast,no,sql,DiskBased,mysql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
240,jhipster120,,monolith,session,no,hazelcast,no,sql,DiskBased,mysql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
241,jhipster121,X,monolith,oauth2,no,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
242,jhipster121,,monolith,oauth2,no,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
243,jhipster122,X,monolith,session,no,no,no,sql,DiskBased,postgresql,maven,no,X,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
244,jhipster122,,monolith,session,no,no,no,sql,DiskBased,postgresql,maven,no,X,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
245,jhipster123,X,gateway,uaa,ehcache,hazelcast,spring-websocket,sql,InMemory,mariadb,maven,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
246,jhipster123,,gateway,uaa,ehcache,hazelcast,spring-websocket,sql,InMemory,mariadb,maven,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
247,jhipster124,X,monolith,session,ehcache,no,spring-websocket,sql,mysql,mysql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
248,jhipster124,,monolith,session,ehcache,no,spring-websocket,sql,mysql,mysql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
249,jhipster125,X,monolith,jwt,hazelcast,hazelcast,no,sql,InMemory,postgresql,gradle,elasticsearch,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
250,jhipster125,,monolith,jwt,hazelcast,hazelcast,no,sql,InMemory,postgresql,gradle,elasticsearch,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
251,jhipster126,X,gateway,jwt,no,no,no,sql,mariadb,mariadb,maven,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
252,jhipster126,,gateway,jwt,no,no,no,sql,mariadb,mariadb,maven,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
253,jhipster127,X,gateway,uaa,no,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
254,jhipster127,,gateway,uaa,no,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
255,jhipster128,X,microservice,uaa,hazelcast,no,no,sql,DiskBased,mysql,maven,elasticsearch,,,X,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
256,jhipster128,,microservice,uaa,hazelcast,no,no,sql,DiskBased,mysql,maven,elasticsearch,,,X,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
257,jhipster129,X,monolith,session,no,hazelcast,no,sql,DiskBased,mysql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
258,jhipster129,,monolith,session,no,hazelcast,no,sql,DiskBased,mysql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
259,jhipster130,X,monolith,session,ehcache,no,no,sql,InMemory,postgresql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
260,jhipster130,,monolith,session,ehcache,no,no,sql,InMemory,postgresql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
261,jhipster131,X,gateway,jwt,hazelcast,no,no,sql,InMemory,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
262,jhipster131,,gateway,jwt,hazelcast,no,no,sql,InMemory,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
263,jhipster132,X,monolith,session,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
264,jhipster132,,monolith,session,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
265,jhipster133,X,monolith,jwt,hazelcast,no,spring-websocket,sql,mariadb,mariadb,gradle,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
266,jhipster133,,monolith,jwt,hazelcast,no,spring-websocket,sql,mariadb,mariadb,gradle,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
267,jhipster134,X,monolith,session,hazelcast,no,spring-websocket,sql,mariadb,mariadb,gradle,elasticsearch,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
268,jhipster134,,monolith,session,hazelcast,no,spring-websocket,sql,mariadb,mariadb,gradle,elasticsearch,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
269,jhipster135,X,monolith,session,hazelcast,no,spring-websocket,sql,InMemory,postgresql,maven,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
270,jhipster135,,monolith,session,hazelcast,no,spring-websocket,sql,InMemory,postgresql,maven,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
271,jhipster136,X,monolith,jwt,no,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
272,jhipster136,,monolith,jwt,no,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
273,jhipster137,X,monolith,session,ehcache,no,spring-websocket,sql,mariadb,mariadb,gradle,no,X,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
274,jhipster137,,monolith,session,ehcache,no,spring-websocket,sql,mariadb,mariadb,gradle,no,X,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
275,jhipster138,X,gateway,jwt,no,no,no,sql,DiskBased,mariadb,gradle,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
276,jhipster138,,gateway,jwt,no,no,no,sql,DiskBased,mariadb,gradle,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
277,jhipster139,X,monolith,session,ehcache,hazelcast,no,sql,InMemory,postgresql,maven,elasticsearch,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
278,jhipster139,,monolith,session,ehcache,hazelcast,no,sql,InMemory,postgresql,maven,elasticsearch,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
279,jhipster140,X,monolith,oauth2,no,no,spring-websocket,mongodb,mongodb,mongodb,gradle,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
280,jhipster140,,monolith,oauth2,no,no,spring-websocket,mongodb,mongodb,mongodb,gradle,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
281,jhipster141,X,monolith,oauth2,hazelcast,no,spring-websocket,sql,mariadb,mariadb,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
282,jhipster141,,monolith,oauth2,hazelcast,no,spring-websocket,sql,mariadb,mariadb,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
283,jhipster142,X,gateway,jwt,ehcache,hazelcast,spring-websocket,sql,mysql,mysql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
284,jhipster142,,gateway,jwt,ehcache,hazelcast,spring-websocket,sql,mysql,mysql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
285,jhipster143,X,monolith,jwt,no,hazelcast,no,sql,InMemory,postgresql,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
286,jhipster143,,monolith,jwt,no,hazelcast,no,sql,InMemory,postgresql,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
287,jhipster144,X,monolith,oauth2,hazelcast,no,spring-websocket,sql,mysql,mysql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
288,jhipster144,,monolith,oauth2,hazelcast,no,spring-websocket,sql,mysql,mysql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
289,jhipster145,X,monolith,jwt,ehcache,hazelcast,no,sql,mariadb,mariadb,maven,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
290,jhipster145,,monolith,jwt,ehcache,hazelcast,no,sql,mariadb,mariadb,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
291,jhipster146,X,microservice,jwt,hazelcast,no,no,sql,DiskBased,mariadb,gradle,elasticsearch,,,,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
292,jhipster146,,microservice,jwt,hazelcast,no,no,sql,DiskBased,mariadb,gradle,elasticsearch,,,,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
293,jhipster147,X,gateway,jwt,hazelcast,no,spring-websocket,sql,DiskBased,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
294,jhipster147,,gateway,jwt,hazelcast,no,spring-websocket,sql,DiskBased,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
295,jhipster148,X,monolith,session,hazelcast,hazelcast,spring-websocket,sql,DiskBased,mysql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
296,jhipster148,,monolith,session,hazelcast,hazelcast,spring-websocket,sql,DiskBased,mysql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
