Product configurations,Cell_phone,Wireless,Infrared,Bluethooth,Accu_Cell,Strong,Medium,Weak,Display,Games,Multi_Player,Single_Player,Artificial_Opponnent
Product-1,X,X,X,,X,X,,,X,X,X,,
Product-2,X,X,,X,X,X,,,X,X,X,,
Product-3,X,X,X,X,X,X,,,X,X,X,,
Product-4,X,X,X,,X,,X,,X,X,X,,
Product-5,X,,,,X,,,X,X,X,,X,X
Product-6,X,,,,X,X,,,X,X,,X,X
Product-7,X,X,X,,X,X,,,X,X,,X,X
Product-8,X,X,,X,X,X,,,X,X,,X,X
Product-9,X,X,X,X,X,X,,,X,X,,X,X
Product-10,X,,,,X,,X,,X,X,,X,X
Product-11,X,X,X,,X,,X,,X,X,,X,X
Product-12,X,X,X,,X,,,X,X,X,,X,X
Product-13,X,X,X,,X,,X,,X,X,X,X,X
Product-14,X,X,X,,X,X,,,X,X,X,X,X
Product-15,X,X,,X,X,X,,,X,X,X,X,X
Product-16,X,X,X,X,X,X,,,X,X,X,X,X